Bkblk, Bknwy, Bkon8, Bkona, Bkspr, Bkxbq, Bkxcr, Bkxwp, Blxwp, Bxqsq, Cntxt, Dsopp, Dwipd, Hdchk, Katri5, Mulch, Qxmsq, R2ar8, Reskd, Reskr, Rimmx, Rkxwp, Rxmsq, Simpl, Skach, Skewr, Skrxp, Spcop, Stlmt, Thrsk, Wkcti, Wkna8, Wknck, Wkovl, Wkpos, Wtoeg ,Class
0,0,0,0,0,0,0,0,0,0,0,0,l,0,n,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,n,1
0,0,0,0,1,0,0,0,0,0,0,0,l,0,n,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,n,1
0,0,0,0,1,0,1,0,0,0,0,0,l,0,n,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,n,1
0,0,0,0,0,0,0,0,1,0,0,0,l,0,n,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,n,1
0,0,0,0,0,0,0,0,0,0,0,0,l,0,n,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,n,1
0,0,0,0,0,0,0,0,0,0,0,0,l,0,n,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,n,1
0,0,0,0,0,0,0,0,1,0,0,0,l,0,n,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,n,1
0,0,0,0,1,0,0,0,0,0,1,0,l,0,n,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,n,1
0,0,0,0,0,0,0,0,0,0,1,0,l,0,n,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,n,1
0,0,0,0,0,0,1,0,0,0,1,0,l,0,n,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,n,1
0,0,0,0,1,0,1,0,0,0,1,0,l,0,n,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,n,1
0,0,0,0,0,0,0,0,1,0,1,0,l,0,n,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,n,1
0,0,0,0,0,0,0,0,1,0,1,0,l,0,n,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,n,1
